Nickname,Email,Password,GamePlayed,Points,SSO
gamer123,gamer123@mail.com,securepass123,5,250,34567890
legendaryplayer,legendaryplayer@gmail.com,legendpass789,10,900,654321
epicgamer,epicgamer@yahoo.com,epicpass456,7,550,12309876
supergamer,supergamer@example.com,strongpass789,9,700,78901234
ultimateplayer,ultimateplayer@mail.com,ultimatepass123,8,800,34567890
gamemaster,gamemaster@gmail.com,masterpass456,6,600,56789012
casualgamer,casualgamer@yahoo.com,casualpass789,3,300,98765432
proplayer,proplayer@example.com,propass123,5,450,23456789
gamingking,gamingking@mail.com,kingpass789,7,700,89012345
championgamer,championgamer@mail.com,securepass123,4,350,34567890
stellarplayer,stellarplayer@mail.com,stellarpass123,12,1200,98765432
casualchallenger,casualchallenger@gmail.com,challengerpass789,2,100,87654321
strategicgamer,strategicgamer@yahoo.com,strategypass456,6,600,76543210
fantasyhero,fantasyhero@example.com,heropass123,8,800,65432109
adrenalinegamer,adrenalinegamer@mail.com,adrenalinepass789,5,500,54321098
speedster,speedster@gmail.com,speedypass123,9,900,43210987
ultimatequester,ultimatequester@yahoo.com,ultimatepass456,11,1100,32109876
challengechamp,challengechamp@example.com,champpass789,3,300,21098765
victoryveteran,victoryveteran@mail.com,vetpass123,7,700,10987654
prostrategist,prostrategist@gmail.com,prostrategypass789,10,1000,98765432
cybergamer,cybergamer@mail.com,cyberpass123,15,1500,87654321
adventurousgamer,adventurousgamer@gmail.com,adventurepass789,6,600,76543210
strategicmastermind,strategicmastermind@yahoo.com,mastermindpass456,8,800,65432109
fantasyexplorer,fantasyexplorer@example.com,explorerpass123,4,400,54321098
adrenalinejunkie,adrenalinejunkie@mail.com,junkiepass789,7,700,43210987
speeddemon,speeddemon@gmail.com,demonpass123,10,1000,32109876
ultimateconqueror,ultimateconqueror@yahoo.com,conquerorpass456,13,1300,21098765
challengevictor,challengevictor@example.com,victorpass789,5,500,10987654
veteranplayer,veteranplayer@mail.com,veteranpass123,9,900,98765432
proschemer,proschemer@gmail.com,proschemerpass789,11,1100,87654321
